x1,ep_assets_id,province,licence_number,uwi,current_operator,current_operator_parent,current_operator_parent_name,licensee,licensee_parent_company,licensee_parent_company_name,licence_date,current_status,current_status_standardised,well_type,well_type_standardised,confidential_release_date,abandon_date,surf_abandon_date,well_name,formation,field,pool,survey_system,surf_location,surf_township,surf_meridian,surf_range,surf_section,surf_lsd,surf_longitude,surf_latitude,surf_township_range,surf_quarter_unit,surf_unit,surf_block,surf_nts_map_sheet,surf_series,surf_area,surf_sheet,surf_quarter_section,bh_location,bh_township_range,bh_quarter_unit,bh_unit,bh_block,bh_nts_map_sheet,bh_series,bh_area,bh_sheet,bh_quarter_section,bh_longitude,bh_latitude,bh_township,bh_meridian,bh_range,bh_section,bh_lsd,ground_elevation,kb_elevation,total_depth,lahee_class,confidential,surface_owner,os_area,os_deposit,drilling_contractor,spud_date,final_drill_date,rig_release_date,days_drilling,drill_metres_per_day,tvd,well_profile,country,regulatory_agency,psac_area_code,psac_area_name,projected_depth,status_date,status_source,unit_id,unit_name,unit_flag,municipality,completion_date,agent,completed_flag,perf_flag,match,lateral_dist_m,cum_condensate_production_bbls,cum_gas_production_m_mcf,cum_oil_production_bbls,cum_production_hours,cum_water_production_bbls,prod_hours_vs_drill_date
279,2591301,Alberta,0478414,100161005112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2015-12-11T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ PEMBINA 16-10-51-12,Cardium,Pembina,Cardium,DLS,13-10-051-12-W5,51,W5,12,10,13,-115.69281399999998,53.393891000000004,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,16-10-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.673973,53.39285400000001,51,W5,12,10,16,960.2,965.5,2927,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2016-12-30T00:00:00Z,2017-01-05T00:00:00Z,2017-01-07T00:00:00Z,6,487.83,1750.56,Horizontal,Canada,AER,AB2,Foothills Front,3050,2017-07-06T00:00:00Z,CanOils,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1259.7020246531772,0,102.3422904,44247.48504,25585,0,4.067619301994302e-4
280,2599249,Alberta,0482202,100151405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-04T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ PEMBINA 15-14-51-12,Cardium,Pembina,Cardium,DLS,15-11-051-12-W5,51,W5,12,11,15,-115.65965,53.394049,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,15-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.65938100000001,53.409266,51,W5,12,14,15,978.2,983.5,3319,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-02-13T00:00:00Z,2018-02-19T00:00:00Z,2018-02-21T00:00:00Z,6,553.17,1751.76,Horizontal,Canada,AER,AB2,Foothills Front,3465,2018-03-17T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1694.96887036406,0,51.02635452,45092.83416,15634,0,1.590062162338085e-4
281,2600423,Alberta,0482231,100141405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-05T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ PEMBINA 14-14-51-12,Cardium,Pembina,Cardium,DLS,13-11-051-12-W5,51,W5,12,11,13,-115.671052,53.395152,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,14-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.664235,53.409243999999994,51,W5,12,14,14,976.2,980,3488,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-07-01T00:00:00Z,2018-07-08T00:00:00Z,2018-07-10T00:00:00Z,7,498.29,1753.4,Directional,Canada,AER,AB2,Foothills Front,3650,2018-07-24T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1633.8534373245986,0,46.3859898,55554.02952,12561,0,1.1384647176542243e-4
282,2600422,Alberta,0482230,100131405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-05T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ PEMBINA 13-14-51-12,Cardium,Pembina,Cardium,DLS,13-11-051-12-W5,51,W5,12,11,13,-115.671052,53.395062,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.66896000000001,53.409257,51,W5,12,14,13,974.8,980.1,3254,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-06-23T00:00:00Z,2018-06-29T00:00:00Z,2018-06-30T00:00:00Z,6,542.33,1755.14,Directional,Canada,AER,AB2,Foothills Front,3400,2018-07-23T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1587.1725231211271,0,38.04463404,49988.81448,12897,0,1.1772147739221871e-4
283,2591302,Alberta,0478415,102161005112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2015-12-11T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ 102 PEMBINA 16-10-51-12,Cardium,Pembina,Cardium,DLS,13-10-051-12-W5,51,W5,12,10,13,-115.69311499999999,53.394091,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,16-10-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.67409199999999,53.39524399999999,51,W5,12,10,16,960.4,965.7,2937,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2017-01-08T00:00:00Z,2017-01-15T00:00:00Z,2017-01-16T00:00:00Z,7,419.57,1751.76,Horizontal,Canada,AER,AB2,Foothills Front,3060,2017-01-28T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1272.96890894725,0,98.78255856,53267.68722,25243,0,3.9588665562581554e-4
288,2591300,Alberta,0478413,102130905112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2015-12-11T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ 102 PEMBINA 13-9-51-12,Cardium,Pembina,Cardium,DLS,13-10-051-12-W5,51,W5,12,10,13,-115.69341200000001,53.39375,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-09-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.720875,53.395173,51,W5,12,9,13,962.9,967,3509,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2016-01-29T00:00:00Z,2016-02-05T00:00:00Z,2016-02-06T00:00:00Z,7,501.29,1759.28,Horizontal,Canada,AER,AB2,Foothills Front,3530,2016-03-01T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1835.2631387677854,0,194.14664448,104745.92634,33147,0,9.761980491942324e-4
289,2591299,Alberta,0478412,100130905112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2015-12-11T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,BACCALIEU HZ PEMBINA 13-9-51-12,Cardium,Pembina,Cardium,DLS,13-10-051-12-W5,51,W5,12,10,13,-115.69311200000001,53.39355,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-09-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.72086000000002,53.392593999999995,51,W5,12,9,13,962.8,966.8,3509,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2016-01-18T00:00:00Z,2016-01-27T00:00:00Z,2016-01-28T00:00:00Z,9,389.89,1762.66,Horizontal,Canada,AER,AB2,Foothills Front,3550,2016-05-02T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1850.5069651225117,0,255.25890588,95404.31538,32072,0,9.66676311728395e-4
290,2582079,Alberta,0471814,100090806020W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2014-11-20T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,TORC HZ FIR 9-8-60-20,Cardium,Kaybob South,Cardium D,DLS,08-07-060-20-W5,60,W5,20,7,8,-116.97685,54.17233100000001,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,09-08-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.953271,54.174163,60,W5,20,8,9,973.1,979.7,3103,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2015-02-17T00:00:00Z,2015-02-26T00:00:00Z,2015-02-28T00:00:00Z,9,344.78,1614.43,Horizontal,Canada,AER,AB2,Foothills Front,3129,2015-07-12T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1555.4935630372752,0,173.2720662,119023.77234,37715,0,0.00890849395313681
291,2624069,Alberta,0496388,100140706020W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2019-11-14T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,TORC HZ KAYBOBS 14-7-60-20,Cardium,Kaybob South,Cardium D,DLS,15-06-060-20-W5,60,W5,20,6,15,-116.98848400000001,54.16496,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,14-07-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-116.991802,54.180259,60,W5,20,7,14,997.1,1002.9,3306,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2020-01-05T00:00:00Z,2020-01-16T00:00:00Z,2020-01-18T00:00:00Z,11,300.55,1649.35,Directional,Canada,AER,AB2,Foothills Front,3306,2020-02-14T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1719.1653965415794,NA,NA,NA,NA,NA,NA
292,2609972,Alberta,0487469,100030406020W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2017-12-21T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,TORC HZ KAYBOBS 3-4-60-20,Cardium,Kaybob South,Cardium D,DLS,02-09-060-20-W5,60,W5,20,9,2,-116.936458,54.169594999999994,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,03-04-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-116.940698,54.153338,60,W5,20,4,3,920.9,931.5,3353,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-01-15T00:00:00Z,2018-01-22T00:00:00Z,2018-01-24T00:00:00Z,7,479,1567.29,Horizontal,Canada,AER,AB2,Foothills Front,3271,2018-03-01T00:00:00Z,CanOils,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1833.2496274312693,0,64.42478964,53060.7528,16228,0,1.6921087754421087e-4
293,2616409,Alberta,0491363,100160306020W500,Canadian Natural Resources Limited,159,Canadian Natural Resources Limited,Canadian Natural Resources Limited,159,Canadian Natural Resources Limited,2018-10-09T00:00:00Z,Pumping,Active,Crude Oil,Oil,NA,NA,NA,CNRL HZ KAYBOBS 16-3-60-20,Cardium,Kaybob South,Cardium D,DLS,14-34-059-20-W5,59,W5,20,34,14,-116.916835,54.149812,059-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,16-03-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.90337099999999,54.16581,60,W5,20,3,16,1008.5,1013.5,3634,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-12-03T00:00:00Z,2018-12-12T00:00:00Z,2018-12-15T00:00:00Z,9,403.78,1643.94,Directional,Canada,AER,AB2,Foothills Front,3571.4,2019-02-01T00:00:00Z,AER,NA,NA,No,NA,NA,Unspecified,1,1,Yes,1988.9215781166156,0,13.86812196,19395.85626,7819,5079.6424799999995,6.310856707474559e-5
