,EPAssetsId,Province,LicenceNumber,UWI,CurrentOperator,CurrentOperatorParent,CurrentOperatorParentName,Licensee,LicenseeParentCompany,LicenseeParentCompanyName,LicenceDate,CurrentStatus,CurrentStatusStandardised,WellType,WellTypeStandardised,ConfidentialReleaseDate,AbandonDate,SurfAbandonDate,WellName,Formation,Field,Pool,SurveySystem,Surf_Location,Surf_Township,Surf_Meridian,Surf_Range,Surf_Section,Surf_LSD,Surf_Longitude,Surf_Latitude,Surf_TownshipRange,Surf_QuarterUnit,Surf_Unit,Surf_Block,Surf_NTSMapSheet,Surf_Series,Surf_Area,Surf_Sheet,Surf_QuarterSection,BH_Location,BH_TownshipRange,BH_QuarterUnit,BH_Unit,BH_Block,BH_NTSMapSheet,BH_Series,BH_Area,BH_Sheet,BH_QuarterSection,BH_Longitude,BH_Latitude,BH_Township,BH_Meridian,BH_Range,BH_Section,BH_LSD,GroundElevation,KBElevation,TotalDepth,LaheeClass,Confidential,SurfaceOwner,OSArea,OSDeposit,DrillingContractor,SpudDate,FinalDrillDate,RigReleaseDate,DaysDrilling,DrillMetresPerDay,TVD,WellProfile,Country,RegulatoryAgency,PSACAreaCode,PSACAreaName,ProjectedDepth,StatusDate,StatusSource,UnitID,UnitName,UnitFlag,Municipality,CompletionDate,Agent,_Completed`Flag,_Perf`Flag,Match
279,2591301,Alberta,0478414,100161005112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2015-12-11 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ PEMBINA 16-10-51-12,Cardium,Pembina,Cardium,DLS,13-10-051-12-W5,51,W5,12,10,13,-115.69281399999998,53.393891,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,16-10-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.673973,53.39285400000001,51,W5,12,10,16,960.2,965.5,2927.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2016-12-30 00:00:00.000,2017-01-05 00:00:00.000,2017-01-07 00:00:00.000,6.0,487.83,1750.56,Horizontal,Canada,AER,AB2,Foothills Front,3050.0,2017-07-06 00:00:00.000,CanOils,,,No,,,Unspecified,1,1,Yes
280,2599249,Alberta,0482202,100151405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-04 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ PEMBINA 15-14-51-12,Cardium,Pembina,Cardium,DLS,15-11-051-12-W5,51,W5,12,11,15,-115.65965,53.394049,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,15-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.65938100000001,53.409266,51,W5,12,14,15,978.2,983.5,3319.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-02-13 00:00:00.000,2018-02-19 00:00:00.000,2018-02-21 00:00:00.000,6.0,553.17,1751.76,Horizontal,Canada,AER,AB2,Foothills Front,3465.0,2018-03-17 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
281,2600423,Alberta,0482231,100141405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-05 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ PEMBINA 14-14-51-12,Cardium,Pembina,Cardium,DLS,13-11-051-12-W5,51,W5,12,11,13,-115.671052,53.395152,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,14-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.664235,53.409243999999994,51,W5,12,14,14,976.2,980.0,3488.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-07-01 00:00:00.000,2018-07-08 00:00:00.000,2018-07-10 00:00:00.000,7.0,498.29,1753.4,Directional,Canada,AER,AB2,Foothills Front,3650.0,2018-07-24 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
282,2600422,Alberta,0482230,100131405112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2017-01-05 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ PEMBINA 13-14-51-12,Cardium,Pembina,Cardium,DLS,13-11-051-12-W5,51,W5,12,11,13,-115.671052,53.395062,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-14-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.66896000000001,53.409257,51,W5,12,14,13,974.8,980.1,3254.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2018-06-23 00:00:00.000,2018-06-29 00:00:00.000,2018-06-30 00:00:00.000,6.0,542.33,1755.14,Directional,Canada,AER,AB2,Foothills Front,3400.0,2018-07-23 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
283,2591302,Alberta,0478415,102161005112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2015-12-11 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ 102 PEMBINA 16-10-51-12,Cardium,Pembina,Cardium,DLS,13-10-051-12-W5,51,W5,12,10,13,-115.69311499999999,53.394091,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,16-10-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-115.67409199999999,53.39524399999999,51,W5,12,10,16,960.4,965.7,2937.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2017-01-08 00:00:00.000,2017-01-15 00:00:00.000,2017-01-16 00:00:00.000,7.0,419.57,1751.76,Horizontal,Canada,AER,AB2,Foothills Front,3060.0,2017-01-28 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
288,2591300,Alberta,0478413,102130905112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2015-12-11 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ 102 PEMBINA 13-9-51-12,Cardium,Pembina,Cardium,DLS,13-10-051-12-W5,51,W5,12,10,13,-115.69341200000001,53.39375,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-09-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.720875,53.395173,51,W5,12,9,13,962.9,967.0,3509.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2016-01-29 00:00:00.000,2016-02-05 00:00:00.000,2016-02-06 00:00:00.000,7.0,501.29,1759.28,Horizontal,Canada,AER,AB2,Foothills Front,3530.0,2016-03-01 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
289,2591299,Alberta,0478412,100130905112W500,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,Baccalieu Energy Inc.,8660,China Oil And Gas Group Limited,2015-12-11 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,BACCALIEU HZ PEMBINA 13-9-51-12,Cardium,Pembina,Cardium,DLS,13-10-051-12-W5,51,W5,12,10,13,-115.69311200000001,53.39355,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-09-051-12-W5,051-12-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-115.72086000000002,53.392593999999995,51,W5,12,9,13,962.8,966.8,3509.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2016-01-18 00:00:00.000,2016-01-27 00:00:00.000,2016-01-28 00:00:00.000,9.0,389.89,1762.66,Horizontal,Canada,AER,AB2,Foothills Front,3550.0,2016-05-02 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
290,2582079,Alberta,0471814,100090806020W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2014-11-20 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC HZ FIR 9-8-60-20,Cardium,Kaybob South,Cardium D,DLS,08-07-060-20-W5,60,W5,20,7,8,-116.97685,54.17233100000001,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,09-08-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.953271,54.174163,60,W5,20,8,9,973.1,979.7,3103.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2015-02-17 00:00:00.000,2015-02-26 00:00:00.000,2015-02-28 00:00:00.000,9.0,344.78,1614.43,Horizontal,Canada,AER,AB2,Foothills Front,3129.0,2015-07-12 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
291,2624069,Alberta,0496388,100140706020W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2019-11-14 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC HZ KAYBOBS 14-7-60-20,Cardium,Kaybob South,Cardium D,DLS,15-06-060-20-W5,60,W5,20,6,15,-116.98848400000001,54.16496,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,14-07-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-116.991802,54.180259,60,W5,20,7,14,997.1,1002.9,3306.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Ensign Drilling Inc.,2020-01-05 00:00:00.000,2020-01-16 00:00:00.000,2020-01-18 00:00:00.000,11.0,300.55,1649.35,Directional,Canada,AER,AB2,Foothills Front,3306.0,2020-02-14 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
292,2609972,Alberta,0487469,100030406020W500,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,Torc Oil & Gas Ltd.,2521,TORC Oil & Gas Ltd.,2017-12-21 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,TORC HZ KAYBOBS 3-4-60-20,Cardium,Kaybob South,Cardium D,DLS,02-09-060-20-W5,60,W5,20,9,2,-116.936458,54.169594999999994,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SE,03-04-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,SW,-116.940698,54.153338,60,W5,20,4,3,920.9,931.5,3353.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-01-15 00:00:00.000,2018-01-22 00:00:00.000,2018-01-24 00:00:00.000,7.0,479.0,1567.29,Horizontal,Canada,AER,AB2,Foothills Front,3271.0,2018-03-01 00:00:00.000,CanOils,,,No,,,Unspecified,1,1,Yes
293,2616409,Alberta,0491363,100160306020W500,Canadian Natural Resources Limited,159,Canadian Natural Resources Limited,Canadian Natural Resources Limited,159,Canadian Natural Resources Limited,2018-10-09 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,CNRL HZ KAYBOBS 16-3-60-20,Cardium,Kaybob South,Cardium D,DLS,14-34-059-20-W5,59,W5,20,34,14,-116.916835,54.149812,059-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,16-03-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.90337099999999,54.16581,60,W5,20,3,16,1008.5,1013.5,3634.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-12-03 00:00:00.000,2018-12-12 00:00:00.000,2018-12-15 00:00:00.000,9.0,403.78,1643.94,Directional,Canada,AER,AB2,Foothills Front,3571.4,2019-02-01 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
294,2616408,Alberta,0491362,100150306020W500,Canadian Natural Resources Limited,159,Canadian Natural Resources Limited,Canadian Natural Resources Limited,159,Canadian Natural Resources Limited,2018-10-09 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,CNRL HZ KAYBOBS 15-3-60-20,Cardium,Kaybob South,Cardium D,DLS,14-34-059-20-W5,59,W5,20,34,14,-116.91698500000001,54.149829000000004,059-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,15-03-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NE,-116.91248300000001,54.165803000000004,60,W5,20,3,15,1008.0,1013.5,3309.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-11-23 00:00:00.000,2018-11-30 00:00:00.000,2018-12-02 00:00:00.000,7.0,472.71,1643.14,Directional,Canada,AER,AB2,Foothills Front,3307.9,2019-02-01 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
295,2616407,Alberta,0491361,100130306020W500,Canadian Natural Resources Limited,159,Canadian Natural Resources Limited,Canadian Natural Resources Limited,159,Canadian Natural Resources Limited,2018-10-09 00:00:00.000,Pumping,Active,Crude Oil,Oil,,,,CNRL HZ KAYBOBS 13-3-60-20,Cardium,Kaybob South,Cardium D,DLS,14-34-059-20-W5,59,W5,20,34,14,-116.917134,54.14984499999999,059-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,13-03-060-20-W5,060-20-W5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NW,-116.921536,54.165811,60,W5,20,3,13,1007.5,1013.5,3310.0,Development,Non-Confidential,Crown,Not Applicable,Not Applicable,Trinidad Drilling Ltd.,2018-11-10 00:00:00.000,2018-11-19 00:00:00.000,2018-11-22 00:00:00.000,9.0,367.78,1647.96,Directional,Canada,AER,AB2,Foothills Front,3310.9,2019-02-01 00:00:00.000,AER,,,No,,,Unspecified,1,1,Yes
